mean_count turtles with [ color = red ] ,mean_mean [threshold] of turtles,mean_standard-deviation [threshold] of turtles,mean_max [ threshold ] of turtles,min_count turtles with [ color = red ] ,min_mean [threshold] of turtles,min_standard-deviation [threshold] of turtles,min_max [ threshold ] of turtles,last_count turtles with [ color = red ] ,last_mean [threshold] of turtles,last_standard-deviation [threshold] of turtles,last_max [ threshold ] of turtles,sd_count turtles with [ color = red ] ,sd_mean [threshold] of turtles,sd_standard-deviation [threshold] of turtles,sd_max [ threshold ] of turtles,trend_count turtles with [ color = red ] ,trend_mean [threshold] of turtles,trend_standard-deviation [threshold] of turtles,trend_max [ threshold ] of turtles,max_count turtles with [ color = red ] ,max_mean [threshold] of turtles,max_standard-deviation [threshold] of turtles,max_max [ threshold ] of turtles,snap_50_count turtles with [ color = red ] ,snap_50_mean [threshold] of turtles,snap_50_standard-deviation [threshold] of turtles,snap_50_max [ threshold ] of turtles,snap_100_count turtles with [ color = red ] ,snap_100_mean [threshold] of turtles,snap_100_standard-deviation [threshold] of turtles,snap_100_max [ threshold ] of turtles,snap_150_count turtles with [ color = red ] ,snap_150_mean [threshold] of turtles,snap_150_standard-deviation [threshold] of turtles,snap_150_max [ threshold ] of turtles,snap_200_count turtles with [ color = red ] ,snap_200_mean [threshold] of turtles,snap_200_standard-deviation [threshold] of turtles,snap_200_max [ threshold ] of turtles,snap_225_count turtles with [ color = red ] ,snap_225_mean [threshold] of turtles,snap_225_standard-deviation [threshold] of turtles,snap_225_max [ threshold ] of turtles
194.496,13.213392397183,14.281917710553342,141.0358389092171,0.0,12.846097495171048,14.2051267276896,141.03583890921686,200.0,12.846097495171055,14.205126727689606,141.03583890921686,31.828446144918857,3.02774397034538,0.9940928499700331,2.2737367544323206e-13,0.12836250180002926,-0.008695087289417617,-0.0018306763359368754,-7.243302602880181e-17,200.0,51.6056287433547,29.754137933006156,141.03583890921686,200.0,12.846097495171055,14.205126727689606,141.03583890921686,200.0,12.846097495171062,14.205126727689604,141.03583890921686,200.0,12.846097495171062,14.205126727689606,141.03583890921686,200.0,12.846097495171056,14.2051267276896,141.03583890921686,200.0,12.846097495171055,14.205126727689604,141.03583890921686
192.12,11.077270407730799,10.626212787027299,100.75688727543663,0.0,10.303283690906092,10.506827771425812,100.58966711020054,200.0,10.602720665068288,10.506827771425817,100.58966711020054,38.3057384734977,3.4284037626608566,1.2663390932935512,2.638689699776325,0.18150664810636954,-0.011192112272213738,-0.002829036681277833,-0.00399729478651195,200.0,50.75598285859641,29.953546493028604,142.394708419136,200.0,10.602720665068288,10.506827771425817,100.58966711020054,200.0,10.602720665068288,10.506827771425819,100.58966711020054,200.0,10.602720665068288,10.506827771425817,100.58966711020054,200.0,10.602720665068293,10.506827771425812,100.58966711020054,200.0,10.602720665068286,10.506827771425815,100.58966711020054
190.492,11.21051572214145,10.58870268266465,96.72412011801514,0.0,10.175099210051853,10.4663973222005,96.55401353968878,200.0,10.76260970951518,10.466397322200503,96.55401353968878,42.08175300531124,3.239653143569404,1.241204222730337,2.415539482797337,0.21719809916958652,-0.010560241537835496,-0.002897535023712405,-0.004062832828862288,200.0,50.42655804895036,29.19275490691028,134.5756779404755,200.0,10.762609709515175,10.4663973222005,96.55401353968878,200.0,10.762609709515186,10.466397322200509,96.55401353968878,200.0,10.762609709515177,10.466397322200507,96.55401353968878,200.0,10.762609709515186,10.466397322200507,96.55401353968878,200.0,10.762609709515177,10.466397322200507,96.55401353968878
194.26,8.172477300399517,7.137995779464086,59.67507784966132,0.0,7.739357297246336,7.001670216621233,59.2999273968825,200.0,7.739357297246341,7.001670216621236,59.2999273968825,32.539336194827534,3.4511983423498385,1.3086529729953997,3.6096416132111586,0.1337174674794798,-0.010246226976255327,-0.0032310919449817788,-0.008905771460057851,200.0,50.444350935360546,26.479513430837187,111.93800840717662,200.0,7.739357297246347,7.001670216621236,59.2999273968825,200.0,7.739357297246344,7.001670216621236,59.2999273968825,200.0,7.739357297246341,7.001670216621236,59.2999273968825,200.0,7.739357297246345,7.001670216621237,59.2999273968825,200.0,7.739357297246345,7.001670216621239,59.2999273968825
28.632,47.080277594745226,32.31806623327681,130.94534560623765,0.0,46.82418922025247,28.098355430838208,130.9341009481564,30.0,46.82418922025247,32.50643343747387,130.9341009481564,4.249303001669799,0.6553810707811037,0.5095249987316541,0.17743771161317187,0.029758172130754056,-0.004740839142156569,0.00330301093135717,-0.0002687966075059895,30.0,51.722175708516964,32.50643343747387,133.74526546832732,30.0,47.03689500072121,32.36420493427595,130.9341009481564,30.0,46.92228130027824,32.41253161109854,130.9341009481564,30.0,46.86607340689532,32.45892364734112,130.9341009481564,30.0,46.838148734322516,32.48919242163096,130.9341009481564,30.0,46.82989267138925,32.499205154600986,130.9341009481564
192.92,14.622286543857312,7.943976597267298,67.1448717378504,0.0,14.081864006523768,7.764564845140189,66.54506570657556,200.0,14.18048746147922,7.764564845140193,66.54506570657556,35.92761611908043,3.140530431441377,1.5225454933342366,5.017846261709396,0.16371333941343058,-0.010416504963035606,-0.004239587361314743,-0.01421137750530407,200.0,48.70621222467705,29.542997444348185,128.0318845638236,200.0,14.18048746147922,7.764564845140193,66.54506570657556,200.0,14.180487461479226,7.764564845140193,66.54506570657556,200.0,14.180487461479224,7.764564845140193,66.54506570657556,200.0,14.180487461479215,7.764564845140192,66.54506570657556,200.0,14.180487461479215,7.7645648451401925,66.54506570657556
182.748,8.250179871094664,12.401043864681228,87.61587988673878,0.0,7.5212027210046735,12.02533630234582,87.43772453261371,190.0,7.5212027210046735,12.031481335936604,87.43772453261371,28.26525244889925,3.5256030716771667,1.696008089989748,2.425394281267317,0.16131829309268936,-0.01615236488472626,-0.008461059041264828,-0.004253571468067208,190.0,47.77304044235664,30.72713179976047,125.30706557041826,189.0,7.659789589823103,12.068523365445778,87.43772453261371,189.0,7.569023063894904,12.027724088654098,87.43772453261371,190.0,7.543877393183074,12.0255190937497,87.43772453261371,190.0,7.529736822487295,12.028227920858983,87.43772453261371,190.0,7.524886386545669,12.029926943364265,87.43772453261371
192.988,10.995682343672945,9.284434087461587,79.06425127785992,0.0,10.5839020567399,9.132305071410105,78.67646629230599,200.0,10.583902056739914,9.13230507141011,78.67646629230599,35.94334230424316,3.0425036139944748,1.5289020521379126,4.379816384557386,0.1621899870397923,-0.009716900464688179,-0.003610752128418321,-0.009238038832139837,200.0,47.30648423223888,31.788403749490946,143.8528052966843,200.0,10.583902056739909,9.132305071410112,78.67646629230599,200.0,10.583902056739916,9.132305071410112,78.67646629230599,200.0,10.583902056739912,9.132305071410107,78.67646629230599,200.0,10.583902056739914,9.13230507141011,78.67646629230599,200.0,10.583902056739912,9.132305071410114,78.67646629230599
192.868,12.360611639197236,9.12284291881944,73.4039511801679,0.0,11.811230847073398,8.993027750154496,72.8660028425516,200.0,11.967193611732228,8.9930277501545,72.8660028425516,36.33591303380193,2.9387939928003695,1.270636095417644,4.490142914385463,0.16493332693323065,-0.009289100585624242,-0.003076475590351381,-0.01270402303163456,200.0,46.83283297933869,28.007420975956578,136.7902703311205,200.0,11.96719361173223,8.993027750154504,72.8660028425516,200.0,11.967193611732235,8.993027750154502,72.8660028425516,200.0,11.967193611732235,8.9930277501545,72.8660028425516,200.0,11.967193611732238,8.993027750154502,72.8660028425516,200.0,11.967193611732228,8.993027750154502,72.8660028425516
196.268,18.270726662769945,9.25421496539893,80.94971368431828,0.0,18.050951245111253,9.126115036852221,80.68773765273284,200.0,18.050951245111275,9.126115036852225,80.68773765273284,25.94864497425661,2.220804020228669,1.3338298730924272,3.182114530200372,0.08781798108769767,-0.005225403899035009,-0.003045345710895281,-0.0062458867855520305,200.0,49.8899666563656,28.995326723691313,129.52655866703208,200.0,18.050951245111268,9.126115036852223,80.68773765273284,200.0,18.05095124511126,9.126115036852227,80.68773765273284,200.0,18.050951245111268,9.126115036852225,80.68773765273284,200.0,18.050951245111275,9.126115036852225,80.68773765273284,200.0,18.050951245111275,9.126115036852225,80.68773765273284
