random-seed,vicinity,K
95049.55932916749,44.0,0.44726415691881316
8346.698645469267,47.0,0.34861911473945895
3125.446937702378,35.0,0.24475056460569472
56567.517457960595,29.0,0.5280009605353457
96938.28762768094,2.0,0.25764349650615226
27176.794640822827,23.0,0.4982019136869673
63539.92353533458,7.0,0.31247344454171505
25891.168186449784,45.0,0.8547345933786028
73810.33206430601,40.0,0.5475323796875139
31668.688850017596,35.0,0.5974320700044681
53988.9760199854,13.0,0.2573365842119113
47387.13384014027,21.0,0.2763256331692688
41816.34215105097,27.0,0.4458291856165828
91287.91848789589,43.0,0.15201665969319667
35288.49724232919,21.0,0.6712310935497457
46983.417957063626,17.0,0.636483608781561
39196.69349106047,30.0,0.4795774789268261
76235.20329122564,5.0,0.5450586517585317
66337.84939860972,28.0,0.27274208603753336
87885.58959520869,29.0,0.6084984645007747
70412.95418827115,13.0,0.10210738548512586
39493.283321984636,23.0,0.32592426642359973
75607.56382585301,48.0,0.3860217468870626
8880.548890678116,15.0,0.5976101610667579
25664.786642561103,9.0,0.11993830012794193
88836.47835855454,48.0,0.28663469191302215
85427.9711042362,48.0,0.4928810590565521
52607.45051642131,24.0,0.8846140560349091
53273.9483846388,4.0,0.5764868854135006
94737.7111062192,18.0,0.899756448091594
70121.99883167638,10.0,0.3920309705894687
61628.61571119278,12.0,0.399534538928929
71623.5720917619,40.0,0.805627301373689
99624.98483823542,29.0,0.16418990694700497
73661.80586843257,19.0,0.4711426736780604
45613.54193706447,13.0,0.6974659856072896
54920.80574540809,20.0,0.7230979998062197
79993.09294132868,36.0,0.29628949170267815
12511.163872483297,30.0,0.8595385897749294
70406.1972844483,6.0,0.16786386050288674
43109.626216034216,16.0,0.4227486386564122
63777.18446378576,24.0,0.1826173191609268
99277.6883694846,49.0,0.8821117977454461
82110.33817502361,15.0,0.47356586312253846
11275.310754119375,40.0,0.6089738442736516
93099.04940162717,45.0,0.8683244892780363
89989.30280697902,11.0,0.37065343805543416
25431.976815685786,22.0,0.8161471741338253
46010.9473669032,37.0,0.736671165933204
16992.69686871171,10.0,0.17331361202314072
73983.10645886192,26.0,0.6146281352792443
86281.50250145767,28.0,0.8353185260210936
23280.520899750747,46.0,0.4591372092581132
27229.792754555227,38.0,0.5558787302959901
88698.48710503956,37.0,0.6013688830577496
8001.2303258886095,42.0,0.7702502552386327
7423.209227150935,39.0,0.7819976623208291
49000.34972834588,24.0,0.7680791424798934
66265.20424063336,33.0,0.6001435141800474
58569.392909644914,6.0,0.27522208961592726
73143.99019053635,6.0,0.6770260149779526
91392.44373211346,32.0,0.7720779795967213
71827.59606250186,6.0,0.22301893817763185
10544.27555872905,23.0,0.1914572076707308
22684.66887518459,21.0,0.7616930091082449
33481.324458299336,8.0,0.5491650424841065
37257.19027402388,40.0,0.13768533329358626
36066.6981693093,36.0,0.6933315095080804
58380.954238841856,23.0,0.10193146376936682
50472.58586286155,29.0,0.2872759159312315
7854.187083811177,38.0,0.3698142148119804
42286.184549868114,12.0,0.82750459223556
26431.89230187552,32.0,0.8163156968380897
13467.638506984726,17.0,0.30858783150790564
61133.33101963547,41.0,0.538625029185864
29480.571599614737,29.0,0.15613330830528113
64885.650887083015,48.0,0.38407525158067923
301.7141924577668,33.0,0.30749296776178625
83456.07420405283,38.0,0.8103134754388478
49688.23775002976,16.0,0.6078178165386114
95826.93545345632,41.0,0.6960117436822155
11370.122910467515,31.0,0.18811338118336238
62829.102695733316,3.0,0.6313511181669352
72483.56731489948,31.0,0.43302524507564144
67210.33982648984,40.0,0.33397761631710254
19801.787398489214,42.0,0.5273266186271729
85943.12898740674,3.0,0.7536372450759756
92756.80461704079,15.0,0.8474921840197569
38872.32780787274,21.0,0.3905671837829374
39617.768420279404,20.0,0.626714896076829
29169.489194430374,48.0,0.7217940960423772
94508.466142021,24.0,0.7576994927536013
23614.69513464688,5.0,0.7960360538560223
91824.12140022393,21.0,0.7282101762494227
1146.570471214497,48.0,0.18781559885865332
87548.56189568478,36.0,0.27436289997230545
76694.48224858036,19.0,0.2839172697004264
38590.84614440508,6.0,0.48934373153585786
16968.338684421262,37.0,0.2393081587590885
47984.696194737255,39.0,0.2266493951323482
61239.260367025745,19.0,0.5508903070010006
12949.420831438672,24.0,0.810877454672445
49084.74006485948,8.0,0.6420266710626461
55783.095850531645,27.0,0.5729966668597787
28551.069549650794,35.0,0.4581255974577694
72599.8412642435,35.0,0.3872808395403503
38043.7723387171,23.0,0.3773257269983804
76104.38474833769,42.0,0.8766940789351881
1740.3853093290186,24.0,0.819271003259851
44714.15615283119,29.0,0.1813790443529576
34424.99481280255,28.0,0.3563515617064218
62943.53417092141,33.0,0.3891298466040446
6644.0267952652985,49.0,0.6301161112511868
1603.4400270744875,15.0,0.7195108175431878
39172.24854491184,46.0,0.7531796899431769
22793.864958989056,33.0,0.7795025219496929
13813.589482538713,7.0,0.359848344930251
70831.67475898296,15.0,0.680062876294673
80961.26082932872,24.0,0.7181064771416951
37324.05541293507,29.0,0.3779791591200167
14453.5655501377,25.0,0.4981349502975574
68859.98636781433,10.0,0.21411058474891603
93455.45628896473,21.0,0.6341746828144244
27625.052146063437,23.0,0.5112317584445252
76566.15615914194,35.0,0.4215318778484559
26802.816756124164,23.0,0.5292348075781462
36611.14445808307,23.0,0.7368127082610209
59862.016135136175,29.0,0.44847496801781583
41990.48090107522,29.0,0.139394751231405
8351.6784632835,37.0,0.7050994702971565
16429.893530433474,20.0,0.7909821664333955
87749.25352446265,3.0,0.5819075857101706
93921.94400223934,34.0,0.8049675988488364
2076.2079896456803,37.0,0.41962010951577033
25306.231790451024,27.0,0.718573232173919
42898.262293563654,27.0,0.3842100579086145
31761.380662664862,8.0,0.2952647508253855
23216.256780314634,29.0,0.3298866373037182
69271.53319818327,15.0,0.18897462618653693
76879.41113273225,23.0,0.3080612475116278
29718.943795946354,27.0,0.7735031433212434
14702.757585073745,37.0,0.7469909490996312
68021.88315915303,40.0,0.8259851199893377
22458.771336305323,23.0,0.21306454805550415
29351.343009074644,14.0,0.19518627990353998
18678.375464252324,25.0,0.634951201958617
18476.340692079557,37.0,0.8943591071335074
58729.75284969793,24.0,0.6811486786675518
48596.28179319592,17.0,0.8859179269945474
71277.32049888911,24.0,0.35462885495173513
63154.67391059538,30.0,0.8840295061697747
68498.37005278906,18.0,0.2584809257649371
13654.454670498222,18.0,0.22247704760885212
58148.61326027278,33.0,0.2630773529970048
65159.81534846952,3.0,0.3051871306164643
68219.42561173275,23.0,0.3508544682394894
60845.78078942157,24.0,0.7047701199948874
9035.722698432186,17.0,0.7958034051439251
96558.98398920904,8.0,0.7887034367216639
14371.738939544002,27.0,0.5662299378181315
77880.0136169639,14.0,0.764930060723496
82175.22106459808,19.0,0.3452578825856758
54417.65424197994,44.0,0.3239575052595697
48318.26671564518,43.0,0.8215252624332372
42085.452361250456,16.0,0.5289899107251853
4126.50622534777,47.0,0.8877636966572087
50529.67781625408,47.0,0.6980882027339315
79105.88864327838,36.0,0.8584528365703721
37638.15495688777,14.0,0.11966679008496994
11988.430603651459,47.0,0.8496993909670535
24993.34467979338,46.0,0.8193694455118145
60367.311811776686,12.0,0.8947541445910875
6965.710151561806,35.0,0.11479453728787342
89999.66001910607,33.0,0.3840830093542368
92507.22524145957,49.0,0.8869813515180422
60685.849015396794,3.0,0.5474134970063135
85808.80820861484,16.0,0.5033528971782298
64592.545993461936,7.0,0.6213214146706919
44883.841294770216,11.0,0.6999965718616207
