random-seed,harvestAdjustment,harvestVariance,Fertility,FertilityEndsAge
38324.26935879698,0.29362645428630585,0.45670587058038514,0.19848472112652357,30.0
11568.66227551429,0.8724520245911755,0.16371716495178062,0.14369639818012825,27.0
69229.42625192783,0.49842432948630255,0.8709304629317143,0.1862313791781751,31.0
83117.27274747274,0.530878598338225,0.5449890500382141,0.1199635160077743,25.0
7013.848896981687,0.8744125471168313,0.6164792346285342,0.17355198537442196,28.0
58530.78764044852,0.5416469998620858,0.27311001816231895,0.15512372302266805,33.0
14896.103792938604,0.18167795615462223,0.7015498487635669,0.17267805698957217,35.0
27653.340310651565,0.3646401026337228,0.23818751161060484,0.14100700481363979,26.0
55482.63509244641,0.35608713290427985,0.3189519756990007,0.18982437501195992,29.0
8061.630688257195,0.2738319896777903,0.6450087170663897,0.1433334447434405,36.0
41350.10704859361,0.686555607746741,0.2909719178647906,0.14115582019397035,27.0
50319.31225957998,0.3040890437676487,0.5893805242655393,0.10546605530031383,28.0
11733.0348919108,0.7704633228165578,0.7884856878597314,0.17582638417743526,35.0
13728.216335247356,0.8037546791768541,0.7310067060983279,0.18590563602543098,29.0
99484.86893273547,0.1876147416441019,0.6782058821939517,0.177935577118362,25.0
19204.257221762527,0.16076673106253747,0.6137336213005437,0.1773709760936213,33.0
65830.00618462567,0.18711025456063146,0.3066058958881678,0.1472901682433263,36.0
32476.437043378373,0.5571859549613515,0.7679494593117896,0.18304973340927777,27.0
42593.15885446728,0.23786092629925495,0.41919346089801957,0.16750643745995242,27.0
8765.813166961309,0.591555043560187,0.30753766859572834,0.19927327626599928,31.0
47151.399996303306,0.14554934775721168,0.6989070582632638,0.1589481931857267,32.0
82893.05581544363,0.8779785090604901,0.38633254324916777,0.12847681208900635,35.0
61540.49364272485,0.592902195828841,0.5405247319265601,0.16130410323549454,27.0
10378.453175292601,0.8009383008831777,0.4372294643876973,0.15951024731269378,31.0
12446.593752068919,0.5473420474170297,0.6991272042633365,0.1939362120063844,28.0
97493.74840288774,0.48257125734288464,0.4338348994983309,0.10778308989145509,30.0
26503.989386660032,0.19482650484144176,0.11579552306354693,0.1468096144384276,36.0
44881.02951571798,0.723513236461001,0.4201339007865472,0.18395818209205111,28.0
99337.80354892845,0.5513923446346743,0.4756957791124724,0.17663081136358458,30.0
40770.14177438593,0.6911022079953705,0.46443229672359876,0.16035255744539634,33.0
33733.36392432483,0.15554745485028043,0.29064064228637687,0.14381042452434045,28.0
37296.65388654675,0.7616837835868109,0.41165667556994867,0.14140549691105148,36.0
92165.85929510904,0.360568533442296,0.4405327511305098,0.19290975483933787,33.0
35781.96739927852,0.3093122040134258,0.6650251637888698,0.15443152216089512,26.0
55395.45075503184,0.7315645501423269,0.6376187759773206,0.15793143371935534,32.0
10237.215365393324,0.22289055186469647,0.8362493854242075,0.13206343308173818,25.0
14522.020869981628,0.5025172537134185,0.8810683463183503,0.13687067804373357,29.0
39985.120569860446,0.4905747734765773,0.3533098686807373,0.11807286414177698,36.0
59642.43598527669,0.3954917078404113,0.49997379273097353,0.11211477601264698,34.0
56389.44791674262,0.4466523873926018,0.5930436762517254,0.1001898167331196,33.0
22987.541165648767,0.34118802581622787,0.592274589569301,0.13476944766514268,27.0
9277.480538206944,0.6331641158652406,0.2831345020602676,0.16641067753353575,35.0
75016.36589344978,0.319496664857319,0.5563405828667579,0.1327432175979411,31.0
19762.3243053851,0.8951998145613607,0.5836607427116433,0.10282442706227984,36.0
32258.14395920472,0.22582558528196384,0.3062801080202851,0.12221166009268603,33.0
46888.10301211115,0.3058143431837764,0.4761166580157208,0.13714385101566187,33.0
62703.92389460456,0.4857866029316873,0.49538662494790686,0.16871429514590988,29.0
11186.38136600515,0.34754760879377966,0.6311320158270755,0.1835170699879968,35.0
31643.50467659346,0.11739285582646097,0.2887437190831297,0.18372235154056943,34.0
49203.39738399822,0.504396495677899,0.672427166334553,0.14709395301449757,27.0
3423.5207131226975,0.17294934821192465,0.7570419481807126,0.1638666284266524,34.0
11128.045014404306,0.12145847656173628,0.8474192210147126,0.11452051408072471,35.0
27806.381527349437,0.7166256736141537,0.3744495040139898,0.10830765981153812,33.0
54519.196625607445,0.8865572436742798,0.7604317608962822,0.12014066844871217,33.0
41446.02494698192,0.704432582332584,0.816062989482636,0.19249366590053774,35.0
50460.68848294101,0.28502015816960735,0.2968152716524691,0.1407060989594421,26.0
10593.70493682807,0.37622502111450695,0.11893332450090428,0.13800402392965844,26.0
8720.648530718281,0.3323568822675319,0.883543015144435,0.13889297439103426,26.0
10086.58688182197,0.5145864735616025,0.49885990891462606,0.13477093320439576,31.0
17970.512915738473,0.23794178014778444,0.7037272656574225,0.15878164851758128,30.0
81482.59914432494,0.7335315762557391,0.7972775815048737,0.131240786014236,27.0
57959.21124434103,0.6564654597644783,0.42585918164435144,0.10629635943471101,25.0
48760.967532198636,0.707347393347452,0.8709625775483207,0.13090299635898225,31.0
65414.05859453778,0.3580233691294602,0.6933380588007205,0.11548999034034006,29.0
36810.68620396498,0.48514610360354615,0.7803356718415458,0.1545496029093043,26.0
64036.863408102974,0.5346841203762202,0.2512759334110518,0.19812083067480463,37.0
22722.704529323837,0.7027209979791824,0.8558502638846718,0.1983195971716371,26.0
9720.724150896302,0.10662582253552327,0.28823754890237463,0.12181252111113518,36.0
34024.24338807111,0.2628368620925038,0.6083683606481366,0.19279297716969157,28.0
70583.0296365846,0.8333842527481029,0.5636642437984763,0.15576140180396808,26.0
62261.934653671444,0.5007086497200293,0.6225179212813454,0.13584289030345395,32.0
94619.6608033053,0.8084339214992199,0.5591969546176718,0.1910675903023867,27.0
25935.680244367824,0.6037754722501054,0.47266391062539526,0.15516794208436635,36.0
35694.27763232107,0.8336854959131536,0.24245084350592513,0.11005507016128467,35.0
25442.82307289885,0.3047589725253258,0.6834679944422405,0.1554384357286318,36.0
58377.51209784846,0.4904831797168895,0.6144385836317185,0.13664718596517825,35.0
53241.66622866874,0.30209272171743196,0.294657638474226,0.11228888982148716,36.0
