random-seed,discount,costpunish,costpunished,percent-best-land
29274.308113976906,0.9102977212299255,0.061485999108966516,0.16209788960829208,12.0
51561.90693197782,0.9015379631310775,0.02417773214800444,0.10281660313757546,20.0
12117.460873275379,0.9627322010120886,0.022480837587986302,0.14349602800480843,11.0
71117.36359952412,0.9905379236600713,0.06424375659346358,0.16356454008283802,6.0
26545.034829539716,0.9090186121346896,0.018130234821360582,0.012717217759470968,17.0
26660.387234858164,0.9120553164484249,0.06697157053551334,0.09479486905058176,8.0
79027.40516113688,0.9660340574176144,0.04475882393789943,0.1637318349048497,14.0
21586.507178068157,0.9212495930082047,0.03778431081984771,0.08316575676704432,12.0
32694.62792080613,0.922029873615928,0.04407913264724699,0.007117771511627447,11.0
76560.9350594951,0.9979859764635803,0.08054070249840047,0.03059272689850976,16.0
56434.91415968364,0.9409881858652064,0.05425038100583257,0.17546825616748182,17.0
49833.222036788204,0.9732875468692741,0.09790606609812041,0.1877052837916486,19.0
55860.65170293512,0.9102320172696354,0.058554322244881586,0.0018942253917996644,24.0
14664.556829947644,0.9394562327967078,0.0369936651427812,0.16713752327460663,8.0
88631.25110635243,0.9641723744596588,0.04731812762372448,0.03888005158049053,21.0
18591.176617373374,0.9149876986055674,0.02249627725876866,0.1480397813471248,25.0
20808.42727421767,0.9563856087019337,0.004113872795087003,0.03940448254629972,15.0
24590.450513694752,0.9858248061048513,0.09994440210887717,0.08822747474111801,17.0
66202.59137725542,0.9186469919458913,0.06240693477935071,0.08297547178791838,22.0
17486.60972058367,0.9201980574574317,0.035910558789262116,0.15243576303050524,8.0
92767.8098294602,0.988934546068427,0.05441284648037539,0.15983180165873284,21.0
61603.88037123627,0.9246417213692196,0.008770567047564626,0.1695673674845466,20.0
64197.46250844059,0.9950815902765613,0.059507244196774806,0.10585929836011321,23.0
81105.13677060918,0.9444635245582553,0.07099537164486938,0.09179490615203684,14.0
74883.35452888563,0.9744878693408002,0.06541081476592006,0.17057022520524545,20.0
50658.77516034531,0.9062556597462146,0.07909611273057537,0.06625603490178218,25.0
64951.50597594238,0.9997408188229264,0.059524846727471985,0.07849688971029788,12.0
27627.190466545628,0.9326936057640008,0.05369407351458007,0.11207004122918263,23.0
76079.80619821894,0.9026951100682845,0.04734314097493861,0.09200912144004324,16.0
96929.5206435245,0.9477291631259306,0.0846001432613261,0.01534791315107813,8.0
30183.220044271548,0.9515833122079287,0.09971486254242459,0.1525292645270322,24.0
