mean_count turtles with [EEv <= .25 and District? != true],mean_count turtles with [EEv < .5 and District? != true] - count turtles with [EEv < .25 and District? != true],mean_count turtles with [EEv < .75 and District? != true] - count turtles with [EEv < .5 and District? != true],mean_count turtles with [EEv >= .75 and District? != true],mean_count turtles with [EEv <= .25 and District? = true],mean_count turtles with [EEv < .5 and District? = true] - count turtles with [EEv < .25 and District? = true],mean_count turtles with [EEv < .75 and District? = true] - count turtles with [EEv < .5 and District? = true],mean_count turtles with [EEv >= .75 and District? = true],mean_SdND,mean_SdD,min_count turtles with [EEv <= .25 and District? != true],min_count turtles with [EEv < .5 and District? != true] - count turtles with [EEv < .25 and District? != true],min_count turtles with [EEv < .75 and District? != true] - count turtles with [EEv < .5 and District? != true],min_count turtles with [EEv >= .75 and District? != true],min_count turtles with [EEv <= .25 and District? = true],min_count turtles with [EEv < .5 and District? = true] - count turtles with [EEv < .25 and District? = true],min_count turtles with [EEv < .75 and District? = true] - count turtles with [EEv < .5 and District? = true],min_count turtles with [EEv >= .75 and District? = true],min_SdND,min_SdD,last_count turtles with [EEv <= .25 and District? != true],last_count turtles with [EEv < .5 and District? != true] - count turtles with [EEv < .25 and District? != true],last_count turtles with [EEv < .75 and District? != true] - count turtles with [EEv < .5 and District? != true],last_count turtles with [EEv >= .75 and District? != true],last_count turtles with [EEv <= .25 and District? = true],last_count turtles with [EEv < .5 and District? = true] - count turtles with [EEv < .25 and District? = true],last_count turtles with [EEv < .75 and District? = true] - count turtles with [EEv < .5 and District? = true],last_count turtles with [EEv >= .75 and District? = true],last_SdND,last_SdD,sd_count turtles with [EEv <= .25 and District? != true],sd_count turtles with [EEv < .5 and District? != true] - count turtles with [EEv < .25 and District? != true],sd_count turtles with [EEv < .75 and District? != true] - count turtles with [EEv < .5 and District? != true],sd_count turtles with [EEv >= .75 and District? != true],sd_count turtles with [EEv <= .25 and District? = true],sd_count turtles with [EEv < .5 and District? = true] - count turtles with [EEv < .25 and District? = true],sd_count turtles with [EEv < .75 and District? = true] - count turtles with [EEv < .5 and District? = true],sd_count turtles with [EEv >= .75 and District? = true],sd_SdND,sd_SdD,trend_count turtles with [EEv <= .25 and District? != true],trend_count turtles with [EEv < .5 and District? != true] - count turtles with [EEv < .25 and District? != true],trend_count turtles with [EEv < .75 and District? != true] - count turtles with [EEv < .5 and District? != true],trend_count turtles with [EEv >= .75 and District? != true],trend_count turtles with [EEv <= .25 and District? = true],trend_count turtles with [EEv < .5 and District? = true] - count turtles with [EEv < .25 and District? = true],trend_count turtles with [EEv < .75 and District? = true] - count turtles with [EEv < .5 and District? = true],trend_count turtles with [EEv >= .75 and District? = true],trend_SdND,trend_SdD,max_count turtles with [EEv <= .25 and District? != true],max_count turtles with [EEv < .5 and District? != true] - count turtles with [EEv < .25 and District? != true],max_count turtles with [EEv < .75 and District? != true] - count turtles with [EEv < .5 and District? != true],max_count turtles with [EEv >= .75 and District? != true],max_count turtles with [EEv <= .25 and District? = true],max_count turtles with [EEv < .5 and District? = true] - count turtles with [EEv < .25 and District? = true],max_count turtles with [EEv < .75 and District? = true] - count turtles with [EEv < .5 and District? = true],max_count turtles with [EEv >= .75 and District? = true],max_SdND,max_SdD
1047.86,81.45,64.91,29.78,763.51,145.58,211.83,103.08,0.09217275649613894,0.0688416827047453,312.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,1224.0,0.0,0.0,0.0,1224.0,0.0,0.0,0.0,0.0,0.0,266.36846735302635,106.39843748852715,105.81550878770095,73.42813902040561,551.2062498738567,309.67396338730157,344.5125557944144,222.64836311996513,0.11939021725706192,0.08468718009405667,7.702214221422146,-3.2165916591659163,-2.9233543354335443,-1.5622682268226822,16.4414101410141,-3.2556015601560153,-8.104176417641764,-5.081632163216323,-0.003674166021025812,-0.0026643214094119495,1224.0,293.0,312.0,312.0,1224.0,1141.0,1105.0,625.0,0.31054380405191245,0.2945123607971419
685.21,210.88,246.73,81.18,218.43,500.96,385.9,118.71,0.25838558665136957,0.1988807056244917,312.0,178.0,81.0,1.0,93.0,66.0,34.0,45.0,0.18460824372235338,0.17751622836668676,941.0,200.0,81.0,2.0,858.0,272.0,39.0,55.0,0.18460824372235338,0.1897190484451159,169.07585841864005,23.314493346414366,78.54156288233638,91.66562932746388,204.93619763233627,248.15704382507462,239.20273827864094,85.6793201420273,0.037840824829194646,0.024754536879188382,5.8249804980498014,-0.560876087608762,-2.3917371737173716,-2.8723672367236714,4.455463546354635,5.429726972697272,-7.320852085208522,-2.5643384338433846,-0.001300393395789889,-0.0006318745461693407,941.0,289.0,341.0,312.0,873.0,864.0,854.0,325.0,0.31285359141723573,0.29451236079714194
530.01,285.2,341.2,67.59,86.44,59.01,348.41,730.14,0.27287346719387456,0.22215261110160514,312.0,209.0,255.0,1.0,53.0,35.0,150.0,312.0,0.2347297035975125,0.1988015986607138,539.0,403.0,278.0,4.0,69.0,62.0,365.0,728.0,0.2347297035975125,0.20691474927330225,53.577699652000724,51.687716142232475,39.75575430047832,91.8640402986936,30.00210659270445,30.594605733691033,45.0095756478552,48.98204160710329,0.02403458531982073,0.02177578090753995,0.8872307230723074,1.4523852385238523,0.3255445544554442,-2.6651605160516056,-0.5668766876687669,-0.17111911191119114,0.930747074707469,-0.19275127512751236,-0.0008178986465220532,-0.0005377681447860346,608.0,403.0,406.0,312.0,312.0,288.0,396.0,816.0,0.3158861122786396,0.29451236079714194
1013.42,96.33,80.25,34.0,547.84,362.49,176.07,137.6,0.11698212011499175,0.20876670742218606,312.0,0.0,0.0,0.0,82.0,26.0,47.0,93.0,0.009154913526052558,0.17809557905279327,1224.0,0.0,0.0,0.0,1041.0,32.0,58.0,93.0,0.010637214950819986,0.2148642840969051,274.9479288883624,104.83873854639798,113.71819335532903,76.77213035991642,417.1147017308309,347.62691193289396,217.06894089205858,62.30473497255244,0.11729594242365313,0.016308042484986917,8.473459345934591,-3.375115511551155,-3.356033603360336,-1.7423102310231027,13.006456645664565,-6.240474047404742,-5.289402940294032,-1.476579657965797,-0.003803993669834499,0.00020166653415210441,1224.0,288.0,312.0,312.0,1044.0,882.0,803.0,341.0,0.31189517739167694,0.2945123607971421
63.26,83.23,399.83,677.68,4.63,8.81,335.31,875.25,0.1590601433680053,0.10843498173555063,0.0,0.0,290.0,280.0,0.0,0.0,185.0,312.0,0.09246270765237975,0.09636289593995614,0.0,2.0,376.0,846.0,0.0,1.0,334.0,889.0,0.09757313855178115,0.10031395217107654,105.17657724037221,97.03894630507901,48.218265211432076,185.85692776972292,31.057577175304587,45.61747362579384,48.75770605760695,78.97346073207125,0.07004341437625244,0.027129477599909822,-2.841416141614162,-3.03983798379838,-0.1835043504350442,6.064758475847585,-0.25727572757275763,-0.42818481848184836,-0.6714611461146124,1.3569216921692178,-0.0022589173696826678,-0.0005164796938002951,365.0,288.0,489.0,880.0,312.0,363.0,530.0,926.0,0.3089111148795677,0.2945123607971419
69.43,75.24,150.51,928.82,55.42,20.24,112.5,1035.84,0.18266145606407247,0.18888042826454768,0.0,7.0,72.0,299.0,3.0,0.0,59.0,312.0,0.09937821205483803,0.09845627854447069,2.0,11.0,93.0,1118.0,5.0,0.0,67.0,1152.0,0.10534197241157975,0.10105604774443712,103.84904958640688,76.49093018129666,79.19046596655431,254.5526028152138,52.384955855665275,38.176463953593206,51.3958169504095,134.32920159071887,0.07998379442776678,0.06604285304263545,-2.9458085808580847,-2.3545994599459945,-2.420660066006601,7.721068106810684,-1.6204020402040207,-0.7683648364836484,-1.5174197419741982,3.9061866186618674,-0.002637648637834008,-0.0022503731401826263,348.0,292.0,348.0,1141.0,312.0,288.0,312.0,1156.0,0.31885290303923053,0.3046142123412139
912.91,148.78,119.95,42.36,40.3,503.3,516.38,164.02,0.16377873037938437,0.15098958432864032,312.0,0.0,0.0,0.0,14.0,15.0,222.0,108.0,0.020629633143102684,0.1242988507732245,1224.0,0.0,0.0,0.0,41.0,831.0,230.0,122.0,0.021913595740257568,0.15114410360321157,281.211311827956,106.19383974600413,131.33052767730732,83.57553709070606,28.71567516183451,341.25886069082514,320.1686986574422,59.17955390166436,0.10835597176999748,0.02056307888254581,9.526738673867385,-3.2851365136513655,-4.166186618661867,-2.0754155415541544,-0.007392739273927983,9.984038403840385,-8.485988598859889,-1.4906570657065707,-0.0036980221992825605,-0.000135509482059355,1224.0,288.0,324.0,312.0,312.0,841.0,1030.0,347.0,0.31423988487545124,0.294512360797142
126.7,274.27,603.71,219.32,52.4,64.28,624.77,482.55,0.19907210916865264,0.18174769192692358,7.0,163.0,289.0,167.0,17.0,41.0,251.0,312.0,0.1294132228175385,0.14641893413701876,7.0,178.0,821.0,218.0,20.0,63.0,685.0,456.0,0.1294132228175385,0.14880224471435644,110.45772947150411,38.81748446254599,153.89439853353983,34.19587109579167,42.44525886362337,42.651865140929075,65.30617964633973,25.80479606584791,0.05018393368888711,0.035045786389595955,-3.627650765076507,-1.0185118511851188,5.109552955295531,-0.46339033903390336,-1.1437863786378644,-0.31735973597359746,1.6969156915691548,-0.23576957695769507,-0.0016867447848753342,-0.0010825247821332703,374.0,329.0,821.0,312.0,312.0,411.0,710.0,540.0,0.30886367895320554,0.2945123607971418
1054.49,77.24,63.05,29.22,728.79,173.5,239.45,82.26,0.09070949213449103,0.0666903846113937,312.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1224.0,0.0,0.0,0.0,1224.0,0.0,0.0,0.0,0.0,0.0,261.25472225397243,101.80502148715459,103.93001250841833,72.518629330676,561.0794292254884,334.4890282206578,368.0816859068108,177.38227758149878,0.11869135142781373,0.07472060901719679,7.484842484248423,-3.08927692769277,-2.8602280228022803,-1.5353375337533752,16.995709570957096,-3.5392739273927387,-9.369678967896792,-4.086756675667567,-0.0036416261829942593,-0.0024051485441198405,1224.0,289.0,312.0,312.0,1224.0,1142.0,1133.0,537.0,0.31099376158958775,0.294512360797142
1044.55,81.72,67.42,30.31,615.29,280.19,243.67,84.85,0.09664934695410073,0.13912647900342892,312.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,1224.0,0.0,0.0,0.0,1224.0,0.0,0.0,0.0,0.0,0.0,264.05201665580984,102.05587489213924,106.72667707747684,73.59099061705848,466.79694289915847,253.08242511087153,266.71048179627314,170.5920499319941,0.11988178533961587,0.07648246595872146,7.733627362736272,-3.1520192019201927,-2.9976477647764774,-1.5839603960396038,15.206882688268827,-2.9470327032703283,-8.144392439243923,-4.115457545754577,-0.003750188683665614,-0.0025649357540782148,1224.0,288.0,312.0,312.0,1224.0,702.0,981.0,487.0,0.31172647652018387,0.29451236079714205
