run,seed,sigma,model,beta,delta,eta,mu,phi,acf1,acf2,acf3,acf4,acf5,acf6,acf7,acf8,acf9,acf10,acf11,ccYL1,ccYL2,ccYL3,ccYL4,ccYL5,ccYL6,ccYL7,ccYL8,ccYL9,ccYL10,ccYL11,ccYr1,ccYr2,ccYr3,ccYr4,ccYr5,ccYr6,ccYr7,ccYr8,ccYr9,ccYr10,ccYr11,ccYI1,ccYI2,ccYI3,ccYI4,ccYI5,ccYI6,ccYI7,ccYI8,ccYI9,ccYI10,ccYI11,ccYC1,ccYC2,ccYC3,ccYC4,ccYC5,ccYC6,ccYC7,ccYC8,ccYC9,ccYC10,ccYC11,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15
0,0,0.0144226564217871,rbc,0.949434749177346,0.0253576731904194,2.07451089513605,0.295119285847046,0.923463090469603,0.620225705893577,0.700497667757317,0.761034309985519,0.829552647676944,0.917052775233667,1,0.917052775233667,0.829552647676944,0.761034309985519,0.700497667757317,0.620225705893577,0.0950111713660969,0.212823091949803,0.315462793087779,0.431153246389663,0.592773111233714,0.768408092359515,0.71708570291034,0.654140244421724,0.615175037469905,0.584890929004944,0.519366339916245,-0.198666363215817,-0.0823440466072017,0.0239459244974739,0.143601044459819,0.315087643021477,0.507837242855594,0.482425341025209,0.443764772302557,0.42738982637429,0.418498020268812,0.372559898608792,0.234778652247639,0.348332385979257,0.444839636801504,0.553691206880408,0.703638027116762,0.863457945571662,0.801622034736248,0.729451034742866,0.681074811703045,0.641598717967665,0.569258205024949,0.789138280571498,0.833810430616861,0.859988597797475,0.889880919046131,0.920495967989673,0.937306054751341,0.852798238686627,0.768447416395476,0.696772320867384,0.631190990577749,0.558044382991225,0.18027169068798,0.124630729304145,0.603804839803146,0.0663891644838453,0.0426970450887614,0.0980753566390581,0.326767434548752,0.0169491907964475,0.0203777202185504,2.71258444662308,0.442721047097178,0.21258939980913,0.0948020611760202,0.0379386109414158,0.0171271163695203
2,2,0.0169610117687052,rbc,0.972134494706435,0.0236425478108326,1.89393661587234,0.284626751282075,0.933658306100652,0.72401973080676,0.788041194654865,0.826060409500259,0.872220090806474,0.931113540190326,1,0.931113540190326,0.872220090806474,0.826060409500259,0.788041194654865,0.72401973080676,0.193146039209782,0.297979066426921,0.371338641941657,0.462545556458843,0.579943756294619,0.721511940542601,0.672225776652393,0.632273061135063,0.609316401444755,0.596257084039084,0.545486984910222,-0.160452478172906,-0.0576515023601005,0.0182007118157992,0.113146903131325,0.235659260548993,0.384625212410411,0.358684650999093,0.339418417907002,0.335459769081798,0.339996592438331,0.309269383662156,0.37755520583844,0.47595736591159,0.542620800351428,0.625143357723964,0.731194464875129,0.858389025633434,0.79956603548854,0.750894138060349,0.718938062643755,0.696950972949371,0.638603931858497,0.855752788106426,0.879096341606177,0.886337570876426,0.89385321085049,0.902827590513935,0.910790577765251,0.847801242084611,0.79264731208338,0.744435095593828,0.701237750492743,0.645657305054981,0.251316389430606,0.170688807184213,0.666190321866246,0.0745532658259855,0.061825051092832,0.139750128817685,0.329885583283212,-0.00445114986948516,0.0237237098891065,2.39666599167247,0.481075099994296,0.257877727061159,0.14949856887563,0.0605804105984383,0.0292160238638503
3,3,0.0243320460405457,rbc,0.96156849470809,0.0257721070449491,2.11250578330536,0.300049047191644,0.891776986791853,0.541682452482075,0.611884351731579,0.668667516803795,0.756224271362978,0.858554693498748,1,0.858554693498748,0.756224271362978,0.668667516803795,0.611884351731579,0.541682452482075,0.116275346355182,0.216791840912944,0.304359126298101,0.440001863655742,0.604336794898453,0.836086598628186,0.713829697584745,0.633971811859633,0.567355760094254,0.537772411798473,0.487851892220075,-0.165642852818511,-0.0625318056790307,0.0300027353315769,0.173587943891266,0.349863869284748,0.600225291733066,0.509499701328569,0.456387589469588,0.41344024982565,0.40544373653506,0.376099393590465,0.228332473981836,0.324338591694763,0.406862359601327,0.534590496257319,0.688382372904011,0.904534658006365,0.773486273172997,0.685354598058695,0.611277794250947,0.573822328290817,0.517142182426428,0.752231466198119,0.783034894800023,0.803061789918547,0.833459600167254,0.864456223155589,0.903711579477462,0.77900470857705,0.682079689231543,0.597811402582233,0.532532120103863,0.462242089288555,0.190056269897385,0.110367588913418,0.675007304888373,0.0934476487737522,0.0603962249484688,0.0784767871482419,0.304441290871497,0.020007405027883,0.0241701113447115,2.93011267005469,0.540373382451231,0.280852769954878,0.127533997616271,0.0556605131275366,0.0274558480058348
4,4,0.0147973975772504,rbc,0.966721678757706,0.026346466210832,2.10588383505703,0.311798833262462,0.96436248404975,0.762770029964527,0.815993165606441,0.864860629229146,0.911039163952387,0.954731378805933,1,0.954731378805933,0.911039163952387,0.864860629229146,0.815993165606441,0.762770029964527,0.418759515206547,0.499441001572673,0.577285321196881,0.654725063259949,0.734537459350818,0.818649204280517,0.811428273674869,0.808135324839235,0.799514387872963,0.783466321485917,0.759685163435624,0.196689199275846,0.280396331000053,0.362373911836923,0.445115436889594,0.532298626034895,0.624558053273399,0.636861924200132,0.653737013655811,0.664581716034481,0.66664044186878,0.660311681640469,0.56233319907479,0.63656552636155,0.707283518326894,0.776747894040913,0.846920937331003,0.920591247785365,0.899207719799658,0.881068924402879,0.85840225688693,0.829706543899828,0.794167201141837,0.830667218906002,0.8647247363121,0.894245983262453,0.920341191236948,0.941992694700587,0.963765938933922,0.906278272640362,0.849084840545674,0.791024515898738,0.732800003294945,0.672313290689111,0.592455054488403,0.4248379307952,1.49879096848791,0.242661523390845,0.124753653207197,0.327980492532748,0.948563507878406,0.113784220969051,0.0720888251837445,4.47396974158222,0.93952426098347,0.409521843894135,0.254800810471502,0.0959204411548255,0.0391972363056151
5,5,0.0140446429778403,rbc,0.964411491443017,0.0250447394083347,2.07783848704631,0.29351081977064,0.92534520359548,0.78942864951573,0.825471797311584,0.863837697091493,0.909739749611653,0.954995169480023,1,0.954995169480023,0.909739749611653,0.863837697091493,0.825471797311584,0.78942864951573,0.257078482804549,0.32457585785624,0.402868607261537,0.499373999449137,0.605810861623793,0.722084285556716,0.702118622863861,0.680435789704097,0.65628978492379,0.643013360289871,0.633290601669386,-0.156183556937086,-0.0875412475714459,-0.00571632507382411,0.0960321395696078,0.211690768696257,0.34087697219793,0.342565330958938,0.34208066397718,0.338662832613855,0.345189907243152,0.355058691251185,0.445048677124739,0.506761743504246,0.5772367164476,0.663658591189448,0.757244872001997,0.858052634863726,0.828738972662709,0.798069875302151,0.765364017425745,0.743153936199764,0.724329876786898,0.898534552276605,0.910982329356773,0.920928928417961,0.93137704394788,0.935891373887958,0.935037436440027,0.886533800875465,0.838583167138667,0.791050981736206,0.747783620614026,0.70572644537057,0.360266160277798,0.258111561144316,0.959980224501902,0.0853180676698081,0.077910644852946,0.211511237329006,0.53168582825021,-0.00279642513074395,0.0355408937101918,3.47434742127283,0.602607558722638,0.326648693590066,0.17388544190411,0.0672025172056117,0.0323142692730578
6,6,0.0164579318649368,rbc,0.909039530107562,0.0249357799987757,1.91929900316792,0.301219718461745,0.970983394750642,0.837280750520834,0.876397389232259,0.91194499928298,0.943508929652611,0.972232131800317,1,0.972232131800317,0.943508929652611,0.91194499928298,0.876397389232259,0.837280750520834,0.0457990259446521,0.124499487183408,0.209836585904887,0.297210382814388,0.39746746241106,0.513571621011222,0.529397290621441,0.545486835076877,0.557950043094007,0.563092571342122,0.560368272913654,-0.16642898602984,-0.0893648921579022,-0.00402076831908822,0.0846136027102457,0.188261196556384,0.30971724151553,0.334456809999594,0.359736588424574,0.38173475878161,0.396653969992692,0.403781464026098,0.288507677599912,0.364162541346077,0.444135858103591,0.524567488629385,0.614609169328751,0.71723375336313,0.721751366516735,0.726196528599193,0.726844030924611,0.720350579681762,0.706397100132243,0.909169414957302,0.934039304086143,0.953462729808754,0.968041988018557,0.976538348374983,0.980341269270599,0.946200846746608,0.910950370626397,0.873413413307764,0.833184034392006,0.790843289777026,0.635709053291329,0.567361858396225,1.51905761511838,0.0960833343700986,0.0526871363902841,0.526874652639929,1.09063593031839,0.0327675781073574,0.0312105699167181,7.05616385194941,0.914403417901283,0.33025952449668,0.15139340970377,0.0488085276999052,0.0165557461345517
7,7,0.0190114162906609,rbc,0.968678358399942,0.0243177826003399,2.11770125020789,0.302761119513747,0.954825129277004,0.726582753227581,0.772711663644984,0.827898898762217,0.885732274644786,0.945521033626226,1,0.945521033626226,0.885732274644786,0.827898898762217,0.772711663644984,0.726582753227581,0.293249048329331,0.365361099350352,0.453724206859789,0.554832118847173,0.666181717963581,0.783142947181525,0.755792799750818,0.719000156958677,0.681301856712861,0.64538490690036,0.62016362984024,0.0114187851036123,0.0849649187319112,0.175798961509826,0.282570082732605,0.402239481144189,0.53238174755704,0.524225786239879,0.506049723694633,0.485597214965244,0.466157388910492,0.456443006271969,0.454962682650233,0.521954017837771,0.603589550241361,0.695200028821673,0.79476841724733,0.896536042877448,0.858603137152585,0.812145617706817,0.765705164128931,0.721429807720533,0.687841254446081,0.831003651007004,0.855920500398936,0.884642290882116,0.910313241708829,0.93330098725064,0.946179881985604,0.88666236883323,0.824871013659442,0.766198154731311,0.710180450757272,0.660859020252795,0.363457888220302,0.254028665151261,0.962175815824031,0.136806859550421,0.0823582405070148,0.198318821950018,0.558832820139487,0.0436137953368444,0.0419281731816955,3.16897831077888,0.646692214742888,0.30356246222229,0.181683435458952,0.0701385762760723,0.0304283174517939
8,8,0.0153781626417418,rbc,0.930633501647025,0.0252705482309352,1.8856030464394,0.295702535119972,0.941707360774202,0.645430845782412,0.719271542419248,0.7948365553962,0.869372361894042,0.934755504931857,1,0.934755504931857,0.869372361894042,0.7948365553962,0.719271542419248,0.645430845782412,0.0595167890528791,0.163992000269412,0.28479057193265,0.423092748267752,0.562607860802205,0.725436847049815,0.710293040578122,0.693382736492944,0.658087129474606,0.617485074225484,0.5747689306287,-0.177460219171363,-0.0760565546657507,0.0450161166940964,0.18830203246167,0.336667683694521,0.514139815375916,0.52070457997956,0.525122088511705,0.510197118255324,0.489060797964147,0.46461778136811,0.203450976963916,0.306018069250165,0.422251884829529,0.552448796923536,0.681430566339888,0.829306604219013,0.801330202572943,0.771886328264253,0.725316291997829,0.674190791009003,0.621763392854123,0.792012593838219,0.840714578810388,0.884596378204339,0.919663731887632,0.942617165294626,0.955391021885817,0.879245634076597,0.803682626317509,0.724415278883835,0.646121251727928,0.570918525871673,0.247433586824382,0.186627045876557,0.853734611173823,0.0841576484955761,0.0469310995319898,0.154215562053138,0.509801420483495,0.0307408921400732,0.0250155095641754,4.28308682514439,0.616775251650391,0.265451088329073,0.108284440988244,0.0412275881667774,0.0169146722097823
9,9,0.0252847110561002,rbc,0.924415731483239,0.0256735352633451,2.03585620107059,0.293826943115105,0.958233307164,0.888752833446417,0.906963427115075,0.924557485565329,0.950600510196667,0.975871235088567,1,0.975871235088567,0.950600510196667,0.924557485565329,0.906963427115075,0.888752833446417,0.109753707575998,0.151154944085679,0.198122001783203,0.276760274632438,0.372253324364826,0.480602177930604,0.470586223063668,0.456400123784854,0.438213944429618,0.44117593881402,0.442390360038155,-0.301579983902061,-0.263212985703907,-0.218217529819867,-0.141241631877884,-0.044718303283535,0.066979921392908,0.0671618894858212,0.0631471456133972,0.0549518080221616,0.066764114805887,0.0768839207733898,0.423367551385147,0.461721319988526,0.504058207256354,0.573636884931951,0.655696506793537,0.747064216434379,0.730236467449366,0.709810510089181,0.686056746864705,0.68156792089697,0.675518391188547,0.938725923464686,0.950070008177794,0.959625855304005,0.971933247993203,0.980008916792122,0.984259137522807,0.960191682478371,0.935730054251879,0.911239624986119,0.89162147178266,0.871688964619685,0.851681499919561,0.775379679970402,1.66234011378242,0.0238956050239428,0.0590865043716386,0.728673048612058,1.27160811934953,-0.0364338347449936,0.0361686206370322,5.81362061023576,0.664857774088795,0.302574534845162,0.14944093684419,0.0467178332657219,0.0177471210653455
10,10,0.0154041412568279,rbc,0.957653854233348,0.0256316998120514,1.8801032953619,0.293579999703497,0.947515115117759,0.540954128649098,0.627820569598203,0.716881035350998,0.810976727878473,0.911316656293377,1,0.911316656293377,0.810976727878473,0.716881035350998,0.627820569598203,0.540954128649098,0.0598573479119111,0.178882599397733,0.313433645683367,0.466155304366128,0.641849580082918,0.821514679447333,0.780878887280109,0.720965419532923,0.663996356958277,0.608572154438278,0.55097803554573,-0.132848326626402,-0.0125412576977231,0.127011468952035,0.288128945157389,0.476557461496097,0.67465872506385,0.656536326800499,0.617990585989405,0.580828583237189,0.543708644631601,0.502926574866014,0.187253187184155,0.302117015046206,0.429584564415828,0.572445400361829,0.734735873174798,0.897068343814174,0.842482761782846,0.76992172854449,0.701268586751489,0.635123872063262,0.567868807662901,0.756862605801344,0.805392799097009,0.846795002046473,0.88348941313918,0.914052680490392,0.924796724806904,0.821284383913742,0.713465546869054,0.612879533258734,0.518679379592208,0.429158825038615,0.189376117155282,0.11889973679444,0.652396932645348,0.106666647826151,0.0539444468996754,0.0872858835925454,0.326598713605936,0.0368268593225736,0.024198052502779,2.79284961044284,0.565505136139706,0.249374457933453,0.131996921784592,0.0534572057923251,0.022768668028121
