random-seed,contagious-rate,fatality-rate,trace-delay,trace-rate,serum-effect
32131.043717593755,0.5321206422834822,0.7148160162074635,5.0,0.544159499468176,0.829301628384304
22422.22897913811,0.18460071316046137,0.8747415979411857,3.0,0.34558963193054637,0.35699506892635147
99682.11930950137,0.6895825735350146,0.5757622567538532,9.0,0.34055281827906225,0.16660050382778735
95884.97512068253,0.7778681077203397,0.7169697892001714,5.0,0.6602493495352092,0.5131992950992381
74258.25229190814,0.2307994636791384,0.7719206261299867,2.0,0.4702200488329172,0.11528880866257463
96021.97210012126,0.2462320446860897,0.7022167376110684,2.0,0.5782878318071172,0.4741348636754238
14314.179194133829,0.3790642565651704,0.768983677645088,4.0,0.3259305928954347,0.3068144424456972
64983.18700692884,0.20241783706631145,0.6828258774425022,6.0,0.6278506336235594,0.622651348653386
57456.537507280314,0.706819741222992,0.5067299452775107,3.0,0.42262924823257375,0.08017344616825373
70069.15705974153,0.2638713179613982,0.7818138203635481,2.0,0.47809875340333347,0.9689686279005739
60317.94089978348,0.33070843466807565,0.7348305570395754,1.0,0.31551766790098473,0.6439564743569179
34272.15682877449,0.5694558199998391,0.8454350154794457,2.0,0.4567017820936031,0.46971692458380154
38259.230674870414,0.5084645186745822,0.811624015494348,8.0,0.5182503328290641,0.6201440702896419
12870.844486668931,0.6326249354360347,0.5309803774922599,7.0,0.3835679838341597,0.6271039789386784
16593.049015237433,0.29815754055093446,0.6242038043935583,8.0,0.5603901336590744,0.9199944056604316
36142.02185457849,0.5286049533103088,0.9028525836490289,6.0,0.6254079834254775,0.14638866162470243
78469.9112537773,0.1310225617823206,0.6564184680111176,4.0,0.5374473806506419,0.2413764932001391
79083.5778046944,0.5686803070020591,0.5049602150748776,8.0,0.41728441339954536,0.2006235033748347
58720.155066460764,0.41975873688442633,0.5520589491339661,4.0,0.31047087131548873,0.8378920186606169
53978.07616812369,0.5760402769282668,0.6223068735729492,8.0,0.5420760905696134,0.006751357325854079
42472.7111627703,0.8786606915143629,0.7772314007037051,9.0,0.6965469516547154,0.8328194129942991
84730.13617313927,0.3233765478087771,0.7170525041024562,3.0,0.6839382624220848,0.5944655756036334
71007.61059682477,0.8768303748953242,0.7393224797120101,8.0,0.44724504584412683,0.4446452818573132
24884.072939477206,0.1759460488098987,0.6587235195340493,3.0,0.588426771754089,0.2208564132589237
79832.05928149879,0.4217617549614979,0.5634958970036131,1.0,0.6585163695609542,0.6040196284577908
76118.52888331862,0.38124530556794456,0.9280107987154868,6.0,0.39939680213492057,0.24325658737704703
1621.4746534470885,0.48800991243162695,0.854787265244086,6.0,0.6780417652094,0.2533166218160058
31086.371326473538,0.5750480600938888,0.57920492494793,9.0,0.46509859681467974,0.7563835989423279
98263.34011624155,0.7717890897776359,0.572472592983257,1.0,0.36542219264203357,0.8219202982970634
59675.376560385324,0.8774669477828935,0.6756506977112589,9.0,0.3764810495369444,0.7386346287674221
46389.43707372352,0.14207814008653472,0.8718904106434411,6.0,0.46327774851039993,0.028429615560331856
67468.98960592429,0.6164283578401996,0.6767434348052208,1.0,0.5472625595347135,0.3302000134221331
95603.85562866533,0.4600260390202321,0.5898361360887738,9.0,0.3857559368712658,0.3873554676408636
77173.61519354371,0.11264788416930803,0.7445807577924765,1.0,0.48446176242371797,0.6962649801694121
48992.063521078446,0.28380517458413285,0.5871118736070411,6.0,0.4931846354815308,0.22230669571092854
21758.00076105122,0.30978603875842703,0.6279900482250227,1.0,0.567505445497538,0.363876432511532
50187.91887020345,0.48269136870583873,0.7245607613511269,8.0,0.41773071040499876,0.16200914280149414
92421.2546157243,0.1461061975922358,0.6706359585371312,6.0,0.48623917370270464,0.7374408627926924
82578.56068689449,0.8124312938239224,0.5457375502489129,7.0,0.696246651628297,0.15474143727020828
12307.796973768942,0.22105914763561058,0.5518269545643748,3.0,0.62001598235838,0.5549131992590787
67284.28149224503,0.6299927820285998,0.7284664269183059,7.0,0.46283508726653594,0.8839501190954735
59363.262062300266,0.6177980440148262,0.8092939127141168,4.0,0.6444910961694396,0.6751575630079641
7460.752178622197,0.29947986285754014,0.6117505811174104,7.0,0.6840861284843851,0.003810836026070241
17546.38116967207,0.7154212089923846,0.537425774543948,10.0,0.3202105686035508,0.4565485215423035
30715.86722755755,0.3348074583932914,0.862033410421162,9.0,0.3703525166663779,0.49993861909700155
67977.0490303046,0.6239266539867439,0.7281979667323566,2.0,0.6686783028582808,0.9722475016894084
