random-seed,effort-change,overestimation,top,published-proportion,researcher-time
56210.62440803872,0.02431104020184023,0.175378234255548,34.0,0.06045711982385794,5.0
22609.84165372701,0.01620014530838254,0.0415593052221373,2.0,0.6025992551689424,18.0
91293.12366472582,0.1607188451638183,0.264045035778412,33.0,0.6078956461438202,45.0
20522.596384285593,0.059123168220843514,0.1071537508864348,40.0,0.0835130179835694,54.0
11763.107947785818,0.028745971550486617,0.13662929169646043,22.0,0.13392038633679476,69.0
64079.53963912206,0.005410092528318567,0.1506843768419086,10.0,0.8301875382871182,79.0
27664.52598728454,0.14621080055129596,0.20893279693278516,12.0,0.40462551646361217,75.0
71567.21556320043,0.13583555876082803,0.48331941181812726,3.0,0.621833067071743,82.0
44344.49662590333,0.1884723685717758,0.28953667223626606,31.0,0.9449304992032644,193.0
84061.15533063834,0.11713376164171135,0.17591088882384093,30.0,0.93518879046139,33.0
39788.66750016191,0.16369266419998865,0.053051503391323473,13.0,0.5255260632253893,39.0
36527.43677544542,0.01855129691139452,0.47760842559350136,10.0,0.6213391405869231,120.0
65650.25135579999,0.05774766995528944,0.4134415733732008,26.0,0.09567399437706835,108.0
23038.63106636392,0.16605206039731435,0.2782405878718605,13.0,0.15475494652668284,11.0
80057.96158417485,0.1960891222404146,0.3502008387488584,37.0,0.0864939439266284,40.0
67574.98863335865,0.06845840423676089,0.3451612612778997,20.0,0.3620630766881796,6.0
98996.84639217028,0.04992890603683038,0.15070898038691555,4.0,0.3647379436897584,162.0
96351.36682719729,0.09417237222665009,0.010617681759294006,4.0,0.09902684249144778,197.0
32231.762842874963,0.03694978620632166,0.05304796614100854,32.0,0.09805020182436337,47.0
5126.638622327943,0.03307048640967989,0.45630135469868904,19.0,0.8664922830139603,162.0
93668.84593082691,0.05910593469367087,0.05213384746081773,15.0,0.033454956523545694,123.0
35220.08320129685,0.123627360897803,0.24387849998077277,9.0,0.18193817550680166,22.0
75600.9613353858,0.1832646675293322,0.0811625276462351,26.0,0.24022475920494388,157.0
39496.04996349917,0.060819660477708176,0.3584281084107998,38.0,0.4678833713661526,108.0
26154.038671534454,0.04976423455138961,0.23046671819906145,27.0,0.4428641587545143,6.0
84539.66542757837,0.019350433429692962,0.4739174880795996,6.0,0.7738143254347718,155.0
35330.20297111349,0.18557693987014834,0.22497313190365353,38.0,0.19618828147367098,149.0
30132.382148281315,0.10666061563421991,0.4765905771391831,19.0,0.2784398963235576,14.0
96876.3300051017,0.19683370219226115,0.16173603882259896,9.0,0.9488513905902468,112.0
40032.071657557746,0.13776417575944425,0.2912816227449346,27.0,0.20426133088643617,97.0
85619.47165462097,0.05196463451711489,0.46982464655753475,1.0,0.6459776585742544,101.0
40935.089863918845,0.1254657424054928,0.337362633810208,16.0,0.0443466652088492,139.0
54385.692748365815,0.1443600081844253,0.38193020660735383,12.0,0.2617347249147374,161.0
84113.34552589283,0.0660849953644628,0.008021147555888175,32.0,0.8475830979806063,122.0
97482.73606297573,0.18107209932074816,0.26726548068501765,35.0,0.9178031063447872,108.0
42389.84000072196,0.049307289585890174,0.05728891398385383,19.0,0.047935390821739574,34.0
89312.74046101003,0.08107254815133247,0.29765610924071534,2.0,0.7510739330386085,34.0
52159.428680088095,0.1410325749048376,0.006800149431310298,29.0,0.14942898265014293,110.0
859.5244005274602,0.1910905881305784,0.2590034315427377,37.0,0.6927002803777031,17.0
99950.78156466947,0.039818995704233084,0.11203832226775562,15.0,0.17176171987897745,41.0
72053.96195025713,0.031150370292294262,0.43486070495939233,18.0,0.12582999143505438,165.0
21043.950457785446,0.13635832959884117,0.4651712861693124,37.0,0.6107868978689222,140.0
42345.51941892298,0.03273915299151769,0.24870414695634113,29.0,0.37412016374168355,32.0
33870.172844397035,0.17482749813736237,0.11195793792704783,35.0,0.12530621068776837,183.0
25440.77172500286,0.19621231047458254,0.11576104549497951,17.0,0.5649551252927457,162.0
77643.86082890406,0.08112927004168183,0.12271786387367462,31.0,0.5364849439095546,147.0
695.2190703968134,0.11705692410132362,0.04958134402279696,39.0,0.9827402351362857,50.0
85307.26159968523,0.05188580541950001,0.3321266497990427,35.0,0.06417085409222328,93.0
53983.387348686236,0.16831231392226506,0.11801267445911912,6.0,0.5513982036834754,133.0
28082.043108863687,0.14494291355447236,0.24371967239674996,21.0,0.15028195880096742,191.0
78782.97979951027,0.030340164399847283,0.12911493664036017,36.0,0.4394839952703595,58.0
37730.55230056171,0.18350288731934072,0.4666733007514653,37.0,0.04065315810955833,105.0
55204.62710209049,0.1228512427884784,0.43608495356008414,9.0,0.218735886903944,13.0
21164.185925102032,0.05849371223218711,0.19030470881884942,21.0,0.9702431063596523,83.0
42252.33327482211,0.12066067756618637,0.18215507659986307,33.0,0.1206753028558924,31.0
92359.33363155596,0.16506490681510222,0.12873794065310645,1.0,0.22236365858530435,127.0
15661.286687278873,0.009129469064886365,0.33921964608737065,26.0,0.34822108651430983,125.0
72210.46521803421,0.0638487762609419,0.4658827723042647,4.0,0.9737864542518626,75.0
19275.32749253971,0.1848319983468213,0.22058600124480676,3.0,0.8696689972724329,57.0
20255.53550199851,0.03310706941355146,0.3215010573057496,6.0,0.8189145297798985,123.0
64162.446802633225,0.09289565176808792,0.2699477073027292,29.0,0.30201777558179344,85.0
92548.65534870536,0.08661148102560814,0.2123358728243993,32.0,0.9411160719295356,38.0
636.244924095629,0.005118460915407597,0.3368046783044039,23.0,0.46349900061345534,185.0
41960.3382069555,0.18003148898229357,0.48410997552091667,19.0,0.9121594753592532,55.0
96606.67971919509,0.08353701903735614,0.35066982149309656,24.0,0.2769806725446239,80.0
3420.8460465466183,0.11212653796597227,0.04994311398055373,3.0,0.6983134516033738,145.0
64045.590549847424,0.18866662237690135,0.03717816331948498,20.0,0.5233133044171526,88.0
80788.85193801404,0.028581326933254683,0.40160238002066606,33.0,0.6116698884767877,33.0
98219.41048819762,0.055937159116142214,0.37707897098400583,23.0,0.7074389577891728,14.0
58742.602859761115,0.017832093897762857,0.23479138699065594,2.0,0.6323737715881238,136.0
22171.05980702172,0.1853463215981171,0.19580709081779774,11.0,0.2926943601173596,100.0
73026.33045890673,0.08805273129727896,0.4831079458996538,24.0,0.42142572635996095,169.0
44830.81111720583,0.018945730118529715,0.2403447855260289,19.0,0.5905692454152104,147.0
54412.46454218566,0.13988589351586225,0.02136502486546732,13.0,0.3506409415962682,143.0
34784.15188040658,0.14844688801058425,0.4902684949798255,32.0,0.19319416376088533,59.0
47267.094890813714,0.11718811077347409,0.2853701177767133,36.0,0.10281420847995508,30.0
9993.385568134438,0.19487086362213984,0.28434132133982787,37.0,0.6593477762001394,44.0
9378.965905131767,0.03157352005787952,0.4489395869478287,5.0,0.2711966482116235,67.0
