random-seed,initial-percent-of-contributors,resource-size,multiplier-effect,social-pressure-vision
41166.97241007627,46.0,0.9548887233620993,1.7224100748369655,2.3995273898408884
27240.623501814352,25.0,0.331519639420217,3.8817401342305784,1.978302081489443
20560.289916590806,22.0,0.7968852954780238,1.701624391885967,4.087977485759709
82268.46688161643,37.0,0.9417765233650828,2.4009482259800285,2.086661626675986
33462.357447069786,66.0,0.95026413338652,3.564575931224879,3.237543166348022
48548.34647919058,12.0,1.1941364604687907,3.122646352539017,2.285756019349107
28709.305469040377,40.0,0.6238474533343092,3.7304311184322003,3.567527793864653
92701.1600229635,78.0,1.9174121734055738,3.6533989918567524,4.481784941613835
97109.39371101091,11.0,1.3215976293736849,3.811157584626484,2.6524304071707467
94748.45832542017,49.0,0.5312084178123829,1.6402459270614225,2.8247384850530066
47913.95182739023,70.0,0.5162967690269407,4.745882845594049,3.8598770396125
34761.43091756841,22.0,1.5919758546198168,2.5624066955972786,4.704695368356645
38858.18857932139,61.0,1.6712841093666488,4.559113013125777,1.2359899635460856
90172.0972147999,50.0,1.6607752364868764,1.528529508103179,2.8581745276483157
42618.47629371297,34.0,0.3787092644279295,4.100794540659466,3.8501752062178918
26514.19247101798,36.0,1.724264124772677,2.242984561787739,1.1761294298778626
76361.86823106997,15.0,1.4926055691599713,3.932813395850889,2.1774648397371714
59861.43141613218,58.0,1.6892637407673523,3.4853837544905963,2.6812044370645887
85913.41174091553,38.0,1.0568292718432908,2.557276532800205,4.031382313735534
53904.48922331449,77.0,1.0609718412405897,4.129374328634288,2.2476212410966725
1986.259829044638,35.0,1.6015197405379242,1.8950649668727761,2.918099890729604
55306.66884757552,47.0,1.481149971893904,4.540740821222029,1.8677683925458042
7026.984212501698,34.0,1.256583467686962,3.5277799856194463,1.577406497490124
25024.24919049969,72.0,0.2947133555597964,4.18240742223542,4.732900238489211
5078.903292840484,53.0,0.7258525172216912,2.522454580213739,3.332724985272778
5730.710161415383,40.0,0.7809586487281772,3.2809829940938924,2.3319042853370835
77643.67282393239,70.0,0.8970446072197212,1.03177547374903,4.515423956661758
63137.503320686104,29.0,0.7688063509166186,1.3282442543672115,1.6297744878115332
30195.96090988821,26.0,1.6256222844240076,4.504614439904323,2.9903197920009092
77419.67169243626,27.0,1.206784501642512,3.3766965269733014,2.431552394217195
9915.232130124637,21.0,0.32367562758476986,1.1441795146234877,3.796939490168772
74090.7459585128,55.0,1.1421491413261466,2.642236995549081,4.924960540764586
38574.88941399729,20.0,1.3798929847366268,2.8777363338423103,4.048063056709703
74316.39745457131,62.0,0.5246521709522793,2.2412219417053416,3.9153296605948773
626.3328104991238,23.0,1.179811753710121,3.801518327047797,2.232378583843844
82605.22866866676,46.0,0.23070844156049833,2.1334097317893885,4.400398768630456
29495.150047178737,47.0,0.7169369644928353,3.5120549259496916,1.2482550774483943
28566.070129280448,22.0,1.887556641115812,1.7348369540442965,3.83871440234784
77267.93417145795,56.0,1.6454618237568834,2.92527459671431,1.3993444556695982
78492.68809834591,79.0,1.4963169294202479,1.2131651817507039,1.9289986676558528
13729.736640972418,45.0,1.2915968944821614,4.708009548751656,2.637337665815383
7836.3924993321425,70.0,1.357305780882076,2.0497747615402386,4.143981145980307
